"timedate","TiE","TiW","Ta","Gv","PhE","PhW"
1983-10-10 15:20:00,24.5019,27.3786,11.8264,0.007,1.5,1.5
1983-10-10 15:30:00,24.5511,27.3884,11.9301,0.0053,1.5,1.5
1983-10-10 15:40:00,24.6569,27.315,12.0966,0.0049,1.5,0
1983-10-10 15:50:00,24.7701,27.1657,12.2795,0.0051,1.5,0
1983-10-10 16:00:00,24.6643,27.0114,12.5938,0.0011,1.5,1.5
1983-10-10 16:10:00,24.6249,26.9012,12.7291,0.001,1.5,0
1983-10-10 16:20:00,24.7529,26.786,12.7253,7e-04,1.5,0
1983-10-10 16:30:00,24.8242,26.7223,12.6926,1e-04,1.5,0
1983-10-10 16:40:00,24.8562,26.8889,12.674,0,1.5,1.5
1983-10-10 16:50:00,24.8956,27.2024,12.694,6e-04,1.5,1.5
1983-10-10 17:00:00,24.9325,27.3762,12.7004,6e-04,1.5,1.5
1983-10-10 17:10:00,24.962,27.501,12.6781,-1e-04,1.5,1.5
1983-10-10 17:20:00,25.0112,27.5964,12.6779,-2e-04,1.5,1.5
1983-10-10 17:30:00,25.0259,27.6894,12.6342,-2e-04,1.5,1.5
1983-10-10 17:40:00,25.0776,27.8141,12.6129,-1e-04,1.5,1.5
1983-10-10 17:50:00,25.0849,27.8483,12.5505,-2e-04,1.5,1.5
1983-10-10 18:00:00,25.1341,27.9388,12.3404,0,1.5,1.5
1983-10-10 18:10:00,25.1587,28.0097,12.1071,-1e-04,1.5,1.5
1983-10-10 18:20:00,25.1661,28.0512,12.0212,-4e-04,1.5,1.5
1983-10-10 18:30:00,25.2226,28.1637,11.9465,-4e-04,1.5,1.5
1983-10-10 18:40:00,25.2177,28.2052,11.8654,-2e-04,1.5,1.5
1983-10-10 18:50:00,25.2693,28.2638,11.8363,0,1.5,1.5
1983-10-10 19:00:00,25.2964,28.3396,11.8416,0,1.5,1.5
1983-10-10 19:10:00,25.3136,28.3884,11.8401,-3e-04,1.5,1.5
1983-10-10 19:20:00,25.348,28.4812,11.8794,0,1.5,1.5
1983-10-10 19:30:00,25.375,28.5179,11.8634,-3e-04,1.5,1.5
1983-10-10 19:40:00,25.4168,28.3176,11.819,4e-04,1.5,0
1983-10-10 19:50:00,25.4364,28.0366,11.8175,9e-04,1.5,0
1983-10-10 20:00:00,25.4536,27.8459,11.7763,8e-04,1.5,0
1983-10-10 20:10:00,25.4856,27.7163,11.7797,7e-04,1.5,0
1983-10-10 20:20:00,25.52,27.6233,11.7812,6e-04,1.5,0
1983-10-10 20:30:00,25.5445,27.5377,11.7715,5e-04,1.5,0
1983-10-10 20:40:00,25.5544,27.4472,11.7459,3e-04,1.5,0
1983-10-10 20:50:00,25.6158,27.4007,11.7288,1e-04,1.5,0
1983-10-10 21:00:00,25.6182,27.2979,11.6712,0,1.5,0
1983-10-10 21:10:00,25.66,27.266,11.5974,0,1.5,0
1983-10-10 21:20:00,25.6796,27.1583,11.4982,0,1.5,0
1983-10-10 21:30:00,25.6894,27.1338,11.3342,0,1.5,0
1983-10-10 21:40:00,25.7189,27.0383,11.201,-1e-04,1.5,0
1983-10-10 21:50:00,25.7459,26.9746,11.0882,-2e-04,1.5,0
1983-10-10 22:00:00,25.7631,26.911,10.9359,-1e-04,1.5,0
1983-10-10 22:10:00,25.6256,26.8718,10.7086,-3e-04,0,0
1983-10-10 22:20:00,25.461,26.8154,10.3858,-8e-04,0,0
1983-10-10 22:30:00,25.3725,26.7223,10.0958,-0.0011,0,0
1983-10-10 22:40:00,25.3209,26.8669,9.8192,-0.0011,0,1.5
1983-10-10 22:50:00,25.2742,27.1461,9.6819,-0.0011,0,1.5
1983-10-10 23:00:00,25.2128,27.3297,9.5527,-0.0012,0,1.5
1983-10-10 23:10:00,25.3529,27.4374,9.4139,-0.0013,1.5,1.5
1983-10-10 23:20:00,25.5126,27.5695,9.2373,-0.0013,1.5,1.5
1983-10-10 23:30:00,25.5912,27.6429,9.1836,-0.0013,1.5,1.5
1983-10-10 23:40:00,25.6158,27.4741,9.0848,-0.0014,1.5,0
1983-10-10 23:50:00,25.6649,27.1901,9.0228,-0.0013,1.5,0
1983-10-11 00:00:00,25.6649,27.0457,8.9402,-0.0013,1.5,0
1983-10-11 00:10:00,25.5666,26.9452,8.8456,-0.0014,0,0
